,Year,Area,DeathCount,Population
0,2000,Utah,402,2203482
1,2000,Hawaii,454,1210300
2,2000,New Mexico,627,1808082
3,2000,Idaho,497,1275674
4,2000,Colorado,1368,4226018
5,2000,North Dakota,298,644259
6,2000,South Dakota,404,750412
7,2000,Wisconsin,2649,5332666
8,2000,Arizona,2513,5023823
9,2000,Wyoming,240,491780
10,2000,Iowa,1675,2917634
11,2000,Connecticut,1788,3386401
12,2000,Minnesota,2205,4873481
13,2000,New Jersey,4603,8359592
14,2000,New York,9550,18882725
15,2000,Nebraska,909,1704764
16,2000,California,13740,33499204
17,2000,Rhode Island,698,1040402
18,2000,Pennsylvania,7918,12263805
19,2000,Oregon,1887,3393941
20,2000,Oklahoma,2221,3437147
21,2000,Ohio,7172,11335454
22,2000,West Virginia,1569,1811799
23,2000,Washington,3055,5842564
24,2000,Vermont,338,604683
25,2000,Virginia,3777,7000174
26,2000,Tennessee,3790,5638706
27,2000,Texas,9186,20558220
28,2000,South Carolina,2337,3974682
29,2000,Alabama,2852,4430141
30,2000,Alaska,179,624779
31,2000,Arkansas,1952,2651860
32,2000,Florida,11483,15759421
33,2000,Georgia,3935,8045965
34,2000,Illinois,6713,12359020
35,2000,Indiana,3897,6044969
36,2000,Kansas,1470,2678338
37,2000,Kentucky,2969,4018053
38,2000,Louisiana,2690,4460811
39,2000,Maine,822,1266808
40,2000,Delaware,539,774990
41,2000,District of Columbia,299,570213
42,2000,Massachusetts,3593,6317345
43,2000,Michigan,5438,9897116
44,2000,Mississippi,1906,2828408
45,2000,Missouri,3620,5561948
46,2000,Montana,507,897507
47,2000,Maryland,2847,5254509
48,2000,Nevada,1131,1934718
49,2000,New Hampshire,665,1222014
50,2000,North Carolina,4684,7949361
51,2001,Utah,407,2244502
52,2001,Hawaii,448,1213519
53,2001,New Mexico,660,1821204
54,2001,Colorado,1432,4326921
55,2001,Idaho,533,1299430
56,2001,North Dakota,315,642023
57,2001,Connecticut,1867,3411777
58,2001,South Carolina,2419,4024223
59,2001,South Dakota,389,755844
60,2001,Tennessee,3939,5703719
61,2001,Texas,9470,20944499
62,2001,California,13690,33987977
63,2001,Arkansas,1988,2678588
64,2001,Vermont,334,609618
65,2001,Virginia,3853,7105817
66,2001,West Virginia,1582,1807021
67,2001,Washington,3113,5910512
68,2001,Wisconsin,2660,5373999
69,2001,Wyoming,232,494300
70,2001,Mississippi,1930,2848353
71,2001,Delaware,478,786373
72,2001,District of Columbia,319,572046
73,2001,Missouri,3739,5607285
74,2001,Montana,485,903773
75,2001,Florida,11742,16047515
76,2001,Nebraska,861,1713820
77,2001,Georgia,4166,8227303
78,2001,Nevada,1184,2018741
79,2001,New Hampshire,659,1239882
80,2001,New Jersey,4682,8430621
81,2001,Illinois,6828,12434161
82,2001,Indiana,3936,6091866
83,2001,New York,9564,19001780
84,2001,North Carolina,4874,8081614
85,2001,Iowa,1733,2929067
86,2001,Kansas,1458,2693681
87,2001,Kentucky,3255,4049021
88,2001,Ohio,7258,11363543
89,2001,Louisiana,2815,4471885
90,2001,Maine,896,1277072
91,2001,Oklahoma,2321,3454365
92,2001,Maryland,2925,5311034
93,2001,Oregon,2055,3429708
94,2001,Massachusetts,3762,6361104
95,2001,Michigan,5548,9952450
96,2001,Pennsylvania,8057,12284173
97,2001,Rhode Island,681,1050268
98,2001,Minnesota,2197,4933692
99,2001,Arizona,2520,5160586
100,2001,Alabama,2964,4452173
101,2001,Alaska,203,627963
102,2002,Utah,371,2283715
103,2002,Hawaii,475,1225948
104,2002,New Mexico,657,1831690
105,2002,Colorado,1483,4425687
106,2002,Idaho,537,1319962
107,2002,Nebraska,945,1719836
108,2002,Wisconsin,2743,5406835
109,2002,Wyoming,232,494657
110,2002,South Dakota,411,757972
111,2002,Arizona,2440,5273477
112,2002,California,13992,34479458
113,2002,Connecticut,1846,3432835
114,2002,Iowa,1712,2931997
115,2002,Minnesota,2270,4982796
116,2002,New Hampshire,648,1255517
117,2002,New Jersey,4698,8492671
118,2002,New York,9517,19082838
119,2002,North Dakota,348,639062
120,2002,Alabama,2912,4467634
121,2002,Nevada,1200,2098399
122,2002,Tennessee,3988,5750789
123,2002,Texas,9395,21319622
124,2002,Vermont,345,612223
125,2002,Virginia,3764,7198362
126,2002,Washington,3049,5985722
127,2002,West Virginia,1555,1801481
128,2002,Alaska,197,633714
129,2002,Arkansas,2003,2691571
130,2002,Delaware,521,795699
131,2002,District of Columbia,314,574504
132,2002,Florida,11793,16356966
133,2002,Georgia,4191,8377038
134,2002,Illinois,6793,12488445
135,2002,Indiana,3935,6127760
136,2002,Kansas,1555,2702162
137,2002,Kentucky,3340,4068132
138,2002,Louisiana,2890,4477875
139,2002,Maine,860,1285692
140,2002,Maryland,2889,5374691
141,2002,Massachusetts,3693,6397634
142,2002,Michigan,5642,9991120
143,2002,Mississippi,1904,2852994
144,2002,Missouri,3755,5641142
